MAPPED_TRAIT,NLP_TERM,NLP_MESH_ID
MSRA/SNX9 protein level ratio in blood,MSRA/SNX9 protein,
HGF/MMP8 protein level ratio in blood,HGF/MMP8 protein,
ALCAM/LRRC25 protein level ratio in blood,ALCAM/LRRC25 protein,
NUB1/SAMD9L protein level ratio in blood,protein level,
CXCL5/EDAR protein level ratio in blood,CXCL5/EDAR protein,
AGRP/NPY protein level ratio in blood,AGRP/NPY protein,
EFNA4/TNFRSF9 protein level ratio in blood,EFNA4/TNFRSF9 protein,
out at first protein homolog measurement,protein,D048948
PDGFA/PDGFB protein level ratio in blood,PDGFA/PDGFB protein,
CLEC1B/ITGB5 protein level ratio in blood,CLEC1B/ITGB5 protein,
CRELD2/TXNDC5 protein level ratio in blood,CRELD2/TXNDC5 protein,
"heart failure, diabetes mellitus, stroke, atrial fibrillation, mortality, coronary artery disease, cancer",heart failure,D006333
"interleukin 18 measurement, protein measurement",interleukin 18 measurement,
ICAM1/REG1A protein level ratio in blood,ICAM1/REG1A protein,
EREG/MPIG6B protein level ratio in blood,EREG/MPIG6B protein,
myelin protein P0 measurement,myelin protein P0,
tumor necrosis factor-inducible gene 6 protein amount,tumor necrosis factor-inducible gene 6 protein,
transferrin receptor protein 1 measurement,transferrin receptor protein 1,
"diet measurement, body mass index",diet measurement,
HSPG2/VASN protein level ratio in blood,HSPG2/VASN protein,
CLEC1B/GP1BA protein level ratio in blood,CLEC1B/GP1BA protein,
"sprouty-related, EVH1 domain-containing protein 1 measurement",sprouty-related,
DOK2/PPP1R12A protein level ratio in blood,DOK2/PPP1R12A protein,
EDAR/F11R protein level ratio in blood,EDAR/F11R protein,
HYAL1/SMPD1 protein level ratio in blood,HYAL1/SMPD1 protein,
FAM3C/PILRB protein level ratio in blood,FAM3C/PILRB protein,
BCL2L11/RAB6A protein level ratio in blood,BCL2L11/RAB6A protein,
GP2/SELE protein level ratio in blood,GP2/SELE protein,
metabolically healthy obesity,metabolically,D000067329
"pulse pressure measurement, alcohol drinking",pulse pressure measurement,
HAVCR2/PILRB protein level ratio in blood,HAVCR2/PILRB protein,
EDAR/SDC4 protein level ratio in blood,EDAR/SDC4 protein,
GFER/VASH1 protein level ratio in blood,GFER/VASH1 protein,
MMP8/OLR1 protein level ratio in blood,MMP8/OLR1 protein,
sphingolipid amount,sphingolipid amount,
CLEC1B/YES1 protein level ratio in blood,CLEC1B/YES1 protein,
"systolic blood pressure, response to high sodium diet",systolic blood pressure,
level of alpha-1-acid glycoprotein 1 in blood,level,D000082162
LYN/TACC3 protein level ratio in blood,LYN/TACC3 protein,
CPB1/PRSS2 protein level ratio in blood,CPB1/PRSS2 protein,
level of E3 ubiquitin-protein ligase TRIM21 in blood,level,D000082162
IPCEF1/SMAD1 protein level ratio in blood,IPCEF1/SMAD1 protein,
CELA3A/CPB1 protein level ratio in blood,CELA3A/CPB1 protein,
"vitamin D amount, parental genotype effect measurement",vitamin D,D014807
asialoglycoprotein receptor 1 measurement,asialoglycoprotein receptor 1,
DSG3/FABP9 protein level ratio in blood,DSG3/FABP9 protein,
level of WAP four-disulfide core domain protein 1 in blood,level,D000082162
level of mitogen-activated protein kinase kinase kinase kinase 5 in blood,level,D000082162
level of epidermal growth factor-like protein 7 in blood,level,D000082162
CASP2/NUB1 protein level ratio in blood,CASP2/NUB1 protein,
protein S measurement,protein S measurement,
MSRA/PPP1R12A protein level ratio in blood,MSRA/PPP1R12A protein,
level of apolipoprotein C-II in blood serum,level,D000082162
GP1BA/SDC4 protein level ratio in blood,GP1BA/SDC4 protein,
DAB2/ERBIN protein level ratio in blood,DAB2/ERBIN protein,
"vitamin measurement, alpha-tocopherol measurement",vitamin measurement,
"diastolic blood pressure, body mass index",diastolic blood pressure,
"diet measurement, linoleic acid measurement",diet measurement,
microfibrillar-associated protein 5 measurement,microfibrillar-associated protein 5,
"glucagon measurement, glucose tolerance test",glucagon,D005934
LDLR/MEGF9 protein level ratio in blood,LDLR/MEGF9 protein,
FKBP5/MAP4K5 protein level ratio in blood,FKBP5/MAP4K5,
protein set measurement,protein set measurement,
"serum albumin amount, diet measurement",serum albumin,D012709
Rare dyslipidemia,Rare,D008674
level of apolipoprotein C-I in blood,level,D000082162
ADH4/CA5A protein level ratio in blood,ADH4/CA5A protein,
REG1B/REG3A protein level ratio in blood,REG1B/REG3A protein,
PLXNA4/VASH1 protein level ratio in blood,PLXNA4/VASH1 protein,
AHSP/HBQ1 protein level ratio in blood,AHSP/HBQ1 protein,
LAYN/PTPRN2 protein level ratio in blood,LAYN/PTPRN2 protein,
"fatty acid amount, milk amount, parental genotype effect measurement",fatty acid,D000090943
ER membrane protein complex subunit 1 measurement,ER membrane protein complex,
B4GALT1/IL10RB protein level ratio in blood,B4GALT1/IL10RB protein,
insulin-like 3 measurement,measurement,D054791
CDKN2D/DAPP1 protein level ratio in blood,CDKN2D/DAPP1 protein,
redox-regulatory protein FAM213A measurement,redox-regulatory protein,
"trans/cis-18:2 fatty acid measurement, trans fatty acid measurement",trans/cis-18:2 fatty acid measurement,
MZB1/TNFRSF13B protein level ratio in blood,MZB1/TNFRSF13B protein,
nucleosome assembly protein 1-like 2 measurement,nucleosome assembly protein,D056490
SCARF1/SUSD1 protein level ratio in blood,SCARF1/SUSD1 protein,
level of phospholipid transfer protein in blood,level,D000082162
"attention deficit hyperactivity disorder, schizophrenia, obsessive-compulsive symptom measurement, anorexia nervosa, type 2 diabetes mellitus, major depressive disorder",attention,D001288
ERBB4/NELL1 protein level ratio in blood,ERBB4/NELL1 protein,
SCARF1/TNFRSF14 protein level ratio in blood,SCARF1/TNFRSF14 protein,
ACY1/SCLY protein level ratio in blood,ACY1/SCLY protein,
AMBP/ASGR1 protein level ratio in blood,protein level,
ANGPT1/APP protein level ratio in blood,ANGPT1/APP protein,
"sex interaction measurement, longitudinal BMI measurement, age at assessment",sex interaction,
level of fibroblast growth factor-binding protein 2 in blood,level,D000082162
melanoma-derived growth regulatory protein amount,melanoma-derived growth regulatory protein,
PPP1R12A/SKAP2 protein level ratio in blood,PPP1R12A/SKAP2 protein,
e3 ubiquitin-protein ligase RNF43 measurement,ubiquitin-protein ligase RNF43,
EREG/ITGB1BP2 protein level ratio in blood,EREG/ITGB1BP2 protein,
CLEC1B/MPIG6B protein level ratio in blood,CLEC1B/MPIG6B protein,
PDLIM7/SRC protein level ratio in blood,PDLIM7/SRC protein,
B4GALT1/IFNGR1 protein level ratio in blood,B4GALT1/IFNGR1 protein,
serum iron amount,serum,D044967
TBC1D23/VASH1 protein level ratio in blood,TBC1D23/VASH1,
transformer-2 protein homolog beta measurement,transformer-2 protein,
MEGF9/MET protein level ratio in blood,MEGF9/MET protein,
"trait in response to escitalopram, trait in response to citalopram, high density lipoprotein cholesterol measurement",trait,D000071421
CD38/RELT protein level ratio in blood,CD38/RELT protein,
level of Kazal-type serine protease inhibitor domain-containing protein 1 in blood,level,D000082162
"disease free survival, type 1 diabetes mellitus",disease free,D018572
CD40LG/EDAR protein level ratio in blood,CD40LG/EDAR protein,
PLA2G4A/SNX9 protein level ratio in blood,protein level,
CD163/SIGLEC1 protein level ratio in blood,CD163/SIGLEC1 protein,
"blood glucose amount, polycystic ovary syndrome",blood glucose,D001786
PMVK/TBCB protein level ratio in blood,PMVK/TBCB protein,
serine/threonine-protein kinase ULK3 measurement,serine/threonine-protein kinase,D000071158
GLOD4/HSPA1A protein level ratio in blood,GLOD4/HSPA1A protein,
"HDL cholesterol change measurement, response to statin",HDL cholesterol change measurement,
"inositol 1,4,5-trisphosphate receptor-interacting protein-like 1 measurement",inositol,D007294
free cholesterol to total lipids in very large HDL percentage ,free cholesterol,
CD63/CLEC1B protein level ratio in blood,CD63/CLEC1B protein,
level of RNA binding protein fox-1 homolog 3 in blood,level,D000082162
serum amyloid A-1 protein amount,serum amyloid A-1 protein,
"attention deficit hyperactivity disorder, schizophrenia, type 2 diabetes mellitus",attention,D001288
IL2RA/NCR1 protein level ratio in blood,IL2RA/NCR1 protein,
FBP1/SIGLEC7 protein level ratio in blood,FBP1/SIGLEC7 protein,
secreted Ly-6/uPAR-related protein 1 measurement,secreted,D053505
monocyte chemotactic protein-2 measurement,monocyte chemotactic protein-2 measurement,
"mean arterial pressure, response to high sodium diet",response,D061745
ITGB1BP2/SKAP2 protein level ratio in blood,ITGB1BP2/SKAP2 protein,
EGLN1/PIK3AP1 protein level ratio in blood,EGLN1/PIK3AP1 protein,
EDAR/SPARC protein level ratio in blood,EDAR/SPARC protein,
IgG galactosylation measurement,IgG,D017099
EDAR/ENO2 protein level ratio in blood,EDAR/ENO2 protein,
"systolic blood pressure, smoking behavior trait",systolic blood pressure,
"hypertension, family history",hypertension,D006973
"discoidin, CUB and LCCL domain-containing protein 2 measurement",discoidin,D000070822
level of WAP four-disulfide core domain protein 1 in blood serum,level,D000082162
CEP85/ZBTB16 protein level ratio in blood,CEP85/ZBTB16 protein,
LAT2/TRIM5 protein level ratio in blood,LAT2/TRIM5 protein,
LXN/PSME2 protein level ratio in blood,LXN/PSME2 protein,
FCER2/TCL1A protein level ratio in blood,FCER2/TCL1A protein,
EBAG9/MITD1 protein level ratio in blood,EBAG9/MITD1 protein,
DNPH1/PSMG3 protein level ratio in blood,DNPH1/PSMG3 protein,
BCR/ICA1 protein level ratio in blood,BCR/ICA1 protein,
CTRB1/PLA2G1B protein level ratio in blood,CTRB1/PLA2G1B,
"essential hypertension, age at diagnosis",essential hypertension,D000075222
MMP1/SERPINB6 protein level ratio in blood,MMP1/SERPINB6 protein,
ANGPT1/CCN2 protein level ratio in blood,ANGPT1/CCN2 protein,
"lifestyle measurement, diastolic blood pressure",lifestyle measurement,
BIN2/PDLIM7 protein level ratio in blood,BIN2/PDLIM7 protein,
APRT/MIF protein level ratio in blood,APRT/MIF protein,
ANXA4/TYMP protein level ratio in blood,ANXA4/TYMP protein,
DKK1/PDGFB protein level ratio in blood,DKK1/PDGFB protein,
complement C1q tumor necrosis factor-related protein 5 measurement,complement,D003166
ERBIN/LYN protein level ratio in blood,ERBIN/LYN protein,
EREG/F2R protein level ratio in blood,EREG/F2R protein,
"response to bevacizumab, hypertension",response,D061745
CD27/NECTIN4 protein level ratio in blood,CD27/NECTIN4 protein,
CD59/CST6 protein level ratio in blood,CD59/CST6 protein,
level of cytokine-like protein 1 in blood,level,D000082162
PDGFA/VEGFC protein level ratio in blood,PDGFA/VEGFC protein,
"obesity, fat pad mass",obesity,D009765
DKK1/PDGFA protein level ratio in blood,DKK1/PDGFA protein,
level of tyrosine-protein kinase Mer in blood,level,D000082162
CA4/SELE protein level ratio in blood,CA4/SELE protein,
EDAR/TACC3 protein level ratio in blood,EDAR/TACC3 protein,
ANXA3/EDAR protein level ratio in blood,ANXA3/EDAR protein,
insulin receptor measurement,insulin receptor measurement,
apolipoprotein L1 measurement,apolipoprotein L1 measurement,
CD40LG/EGF protein level ratio in blood,CD40LG/EGF protein,
C1QTNF1/COL4A1 protein level ratio in blood,C1QTNF1/COL4A1 protein,
CREB-binding protein measurement,CREB-binding protein measurement,
PPP1R12A/VTA1 protein level ratio in blood,PPP1R12A/VTA1 protein,
receptor-type tyrosine-protein phosphatase H measurement,receptor-type tyrosine-protein phosphatase H measurement,
pentraxin-related protein PTX3 measurement,pentraxin-related protein,
"glucose metabolism trait, age-related hearing impairment",glucose metabolism,D044882
CRTAM/TNFRSF9 protein level ratio in blood,CRTAM/TNFRSF9 protein,
CD59 glycoprotein measurement,CD59 glycoprotein measurement,
noncompact myelin-associated protein measurement,noncompact,D056830
"sex interaction measurement, longitudinal BMI measurement",sex interaction,
DKK3/VWF protein level ratio in blood,DKK3/VWF,
"glucose homeostasis trait, glucose effectiveness measurement",glucose homeostasis,
"schizophrenia, obsessive-compulsive symptom measurement, anorexia nervosa, type 2 diabetes mellitus, major depressive disorder",schizophrenia,D012559
CD163/ICAM1 protein level ratio in blood,CD163/ICAM1 protein,
CD27/TNFRSF13B protein level ratio in blood,CD27/TNFRSF13B protein,
DCBLD2/PLA2G15 protein level ratio in blood,DCBLD2/PLA2G15 protein,
DKK4/REG1B protein level ratio in blood,DKK4/REG1B protein,
EBAG9/TBCC protein level ratio in blood,EBAG9/TBCC protein,
level of retinol-binding protein 1 in blood serum,level,D000082162
HTRA2/PPP1R12A protein level ratio in blood,HTRA2/PPP1R12A protein,
CNST/ITGB1BP2 protein level ratio in blood,CNST/ITGB1BP2 protein,
ROBO2/SFTPD protein level ratio in blood,ROBO2/SFTPD protein,
WNT1-inducible-signaling pathway protein 3 measurement,WNT1-inducible-signaling pathway protein 3,
CLEC1B/MGLL protein level ratio in blood,CLEC1B/MGLL protein,
ADGRE5/ITGB2 protein level ratio in blood,ADGRE5/ITGB2 protein,
level of protein phosphatase methylesterase 1 in blood,level,D000082162
DEFA1/PTGDS protein level ratio in blood,DEFA1/PTGDS protein,
DAB2/VASH1 protein level ratio in blood,DAB2/VASH1 protein,
DPP6/SEZ6L2 protein level ratio in blood,DPP6/SEZ6L2 protein,
"attention deficit hyperactivity disorder, type 2 diabetes mellitus, major depressive disorder",attention,D001288
CTRC/KIRREL2 protein level ratio in blood,CTRC/KIRREL2 protein,
HAGH/HBQ1 protein level ratio in blood,HAGH/HBQ1 protein,
level of protein sel-1 homolog 1 in blood,level,D000082162
CASP3/SULT1A1 protein level ratio in blood,CASP3/SULT1A1 protein,
EFNA4/LAYN protein level ratio in blood,EFNA4/LAYN protein,
MGLL/PDLIM7 protein level ratio in blood,MGLL/PDLIM7 protein,
EREG/TIMP3 protein level ratio in blood,EREG/TIMP3 protein,
level of pregnancy-specific beta-1-glycoprotein 1 in blood,level,D000082162
rho GTPase-activating protein 30 measurement,GTPase-activating protein,D020690
DNA repair protein XRCC4 measurement,DNA repair protein,
"triglyceride measurement, low density lipoprotein cholesterol measurement, waist circumference, cardiovascular disease, high density lipoprotein cholesterol measurement, age at assessment",triglyceride measurement,
LXN/UBAC1 protein level ratio in blood,LXN/UBAC1 protein,
PDGFA/PRSS27 protein level ratio in blood,PDGFA/PRSS27 protein,
platelet glycoprotein V measurement,platelet glycoprotein V,
integral membrane protein 2B measurement,integral membrane protein,
"glucose metabolism decline measurement, cingulate cortex attribute",glucose metabolism,D044882
ENG/NOTCH1 protein level ratio in blood,ENG/NOTCH1 protein,
LXN/PSME1 protein level ratio in blood,LXN/PSME1 protein,
low density lipoprotein triglyceride measurement,low density lipoprotein triglyceride,
level of zinc finger and BTB domain-containing protein 17 in blood,level,D000082162
ADH4/KYNU protein level ratio in blood,ADH4/KYNU protein,
"preeclampsia, hypertension, pregnancy-induced",preeclampsia,
METAP2/PLPBP protein level ratio in blood,METAP2/PLPBP protein,
IL18BP/PILRA protein level ratio in blood,IL18BP/PILRA protein,
transforming growth factor-beta-induced protein ig-h3 amount,transforming growth,D000077293
regenerating islet-derived protein 3-alpha measurement,islet-derived protein 3-alpha measurement,
FIS1/HSPA1A protein level ratio in blood,FIS1/HSPA1A protein,
